id,title,type,description,url
1,"Introduction to Python Programming","video","Learn the basics of Python programming language","https://example.com/python-intro"
2,"Data Structures and Algorithms","article","Comprehensive guide to data structures and algorithms","https://example.com/dsa-guide"
3,"Machine Learning Fundamentals","video","Introduction to machine learning concepts","https://example.com/ml-fundamentals"
4,"Web Development with FastAPI","course","Build APIs using FastAPI framework","https://example.com/fastapi-course"
5,"Database Design Principles","article","Learn how to design efficient databases","https://example.com/db-design"
6,"JavaScript for Beginners","video","Complete JavaScript tutorial for beginners","https://example.com/js-basics"
7,"React.js Development Guide","course","Master React.js for frontend development","https://example.com/react-course"
8,"System Design Patterns","article","Common system design patterns and best practices","https://example.com/system-design"
9,"DevOps Fundamentals","video","Introduction to DevOps practices","https://example.com/devops-intro"
10,"Cybersecurity Basics","course","Learn the fundamentals of cybersecurity","https://example.com/cybersecurity-course"
11,"Python Advanced Concepts","video","Advanced Python programming including decorators, generators, and metaclasses","https://example.com/python-advanced"
12,"Machine Learning with Python","course","Hands-on machine learning using scikit-learn and pandas","https://example.com/ml-python"
13,"Deep Learning Fundamentals","video","Introduction to neural networks and deep learning frameworks","https://example.com/deep-learning"
14,"Python Web Scraping","article","Learn web scraping techniques using BeautifulSoup and Scrapy","https://example.com/web-scraping"
15,"Data Analysis with Pandas","video","Data analysis and manipulation using Python pandas library","https://example.com/pandas-tutorial"
16,"Python Testing","course","Unit testing and test-driven development in Python","https://example.com/python-testing"
17,"API Development Best Practices","article","Best practices for designing and developing REST APIs","https://example.com/api-best-practices"
18,"Python Performance Optimization","video","Optimizing Python code for better performance and memory usage","https://example.com/python-optimization"
19,"Machine Learning Model Deployment","course","Deploying machine learning models to production environments","https://example.com/ml-deployment"
20,"Python Security","article","Security best practices and vulnerabilities in Python applications","https://example.com/python-security"
